iter	Passed	Remaining
822	18609	4002
823	18622	3977
824	18652	3956
825	18674	3933
826	18692	3910
827	18718	3888
828	18758	3869
829	18794	3849
830	18814	3826
831	18834	3803
832	18871	3783
833	18884	3758
834	18897	3734
835	18909	3709
836	18921	3684
837	18960	3665
838	18971	3640
839	18988	3616
840	19001	3592
841	19017	3568
842	19030	3544
843	19055	3522
844	19081	3500
845	19094	3475
846	19111	3452
847	19117	3426
848	19124	3401
849	19135	3376
850	19145	3352
851	19160	3328
852	19172	3304
853	19183	3279
854	19203	3256
855	19227	3234
856	19260	3213
857	19290	3192
858	19301	3168
859	19321	3145
860	19328	3120
861	19381	3102
862	19393	3078
863	19402	3054
864	19413	3029
865	19422	3005
866	19429	2980
867	19436	2955
868	19443	2931
869	19505	2914
870	19513	2890
871	19533	2867
872	19551	2844
873	19559	2819
874	19578	2796
875	19598	2774
876	19615	2751
877	19631	2727
878	19638	2703
879	19648	2679
880	19663	2656
881	19694	2634
882	19702	2610
883	19714	2586
884	19741	2565
885	19780	2545
886	19803	2522
887	19883	2507
888	19891	2483
889	19903	2459
890	19946	2440
891	19960	2416
892	19981	2394
893	20013	2372
894	20025	2349
895	20044	2326
896	20123	2310
897	20191	2293
898	20205	2269
899	20216	2246
900	20248	2224
901	20255	2200
902	20296	2180
903	20316	2157
904	20322	2133
905	20353	2111
906	20359	2087
907	20382	2065
908	20411	2043
909	20430	2020
910	20437	1996
911	20456	1973
912	20467	1950
913	20479	1926
914	20493	1903
915	20510	1880
916	20531	1858
917	20578	1838
918	20601	1815
919	20647	1795
920	20696	1775
921	20744	1754
922	20758	1731
923	20781	1709
924	20787	1685
925	20796	1661
926	20861	1642
927	20887	1620
928	20894	1596
929	20907	1573
930	20955	1553
931	20970	1530
932	20985	1506
933	20998	1483
934	21016	1461
935	21028	1437
936	21093	1418
937	21128	1396
938	21233	1379
939	21249	1356
940	21282	1334
941	21300	1311
942	21334	1289
943	21360	1267
944	21394	1245
945	21420	1222
946	21450	1200
947	21536	1181
948	21587	1160
949	21630	1138
950	21649	1115
951	21713	1094
952	21734	1071
953	21810	1051
954	21849	1029
955	21873	1006
956	21927	985
957	21955	962
958	22013	941
959	22066	919
960	22082	896
961	22105	873
962	22177	852
963	22241	830
964	22281	808
965	22319	785
966	22367	763
967	22401	740
968	22422	717
969	22492	695
970	22523	672
971	22532	649
972	22558	625
973	22594	603
974	22609	579
975	22623	556
976	22643	533
977	22665	509
978	22682	486
979	22709	463
980	22737	440
981	22748	416
982	22778	393
983	22829	371
984	22853	348
985	22873	324
986	22882	301
987	22900	278
988	22910	254
989	22920	231
990	22947	208
991	22967	185
992	22974	161
993	22995	138
994	23004	115
995	23022	92
996	23029	69
997	23036	46
998	23064	23
999	23094	0
